CODE,NOM,CATEGORIE,PACKAGING,COULEURS,PRIX,PRIX ORIGINAL,STOCK
LTF-001,LUX TIME - STYLE & ÉLÉGANCE,FEMME,SIMPLE,,149 MAD,249 MAD,3
LTF-003,LUX TIME SILVER GOLD,FEMME,SIMPLE,,149 MAD,249 MAD,2
LTF-004,LUX TIME SILVER GOLD V2,FEMME,SIMPLE,,149 MAD,249 MAD,4
LTF-005,LUX TIME ROSE DIAMOND,FEMME,SIMPLE,,149 MAD,249 MAD,3
LTH-100,GUESS,HOMME,SIMPLE,,199 MAD,237 MAD,3
LTH-102,CARTIER,HOMME,SIMPLE,,199 MAD,250 MAD,4
LTH-103,CARTIER,HOMME,COFFRET,,350 MAD,450 MAD,3
LTH-105,CASIO,HOMME,SIMPLE,"TABLEAU NOIR / TABLEAU BLANC",149 MAD,199 MAD,5
LTH-106,ROLEX,HOMME,SIMPLE,"TABLEAU NOIR / BLEU TURQUOISE",199 MAD,249 MAD,6
LTH-107,PATEK PHILIPPE,HOMME,SIMPLE,,199 MAD,249 MAD,5
